MUNICIPIO;NOME_INSTITUICAO;QTD_AGENCIAS;VALOR_OPERACOES_CREDITO;VALOR_DEPOSITOS_VISTA;VALOR_POUPANCA;VALOR_DEPOSITOS_PRAZO;DATA_REFERENCIA
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;700018487;26895816;287032097;34071456;2024-11-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;69618016;6098143;56108667;103398207;2024-11-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2197908;4246310;30175678;55633076;2024-12-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;552314297;28586999;96265612;104694733;2024-12-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;34061946;945327;27351318;118411372;2024-12-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;702412842;27986762;292523232;34033664;2024-12-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;69468861;5710892;57127436;115217440;2024-12-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2512494;2172138;28676771;61789714;2025-01-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;453840848;24484827;95778957;104970680;2025-01-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;0;0;0;0;2025-01-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;709188659;26580050;288548570;36132556;2025-01-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;70251150;6208143;55458991;96351405;2025-01-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2882334;3323097;27692273;62699725;2025-02-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;523838535;26910516;95842729;111884230;2025-02-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;0;0;0;0;2025-02-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;714421701;25814983;289481640;34123588;2025-02-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;69859586;6854973;54964713;98455756;2025-02-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2598993;2230478;27038806;63255492;2025-03-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;520801441;23849585;95060544;116477899;2025-03-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;0;0;0;0;2025-03-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;721986431;25680761;286284124;28482008;2025-03-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;70282918;4924340;53360601;100426948;2025-03-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2461827;5155920;27938118;65117425;2025-04-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;524989422;19687901;94258515;117766748;2025-04-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;59708070;1126943;24344285;111689596;2025-04-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;728411893;26344802;287799702;27707637;2025-04-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;93695686;5085875;52844813;115141420;2025-04-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2918525;1874618;28546568;71091392;2025-05-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;531983169;22660084;93688344;118044667;2025-05-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;56581709;737685;24450491;101742320;2025-05-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;735959601;24761544;289541106;35595453;2025-05-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;93516617;4323770;52527542;119091427;2025-05-01
PARA DE MINAS;BCO BRADESCO S.A.;1;3487031;2418598;28623547;71540097;2025-06-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;547440379;22911258;91848499;126727353;2025-06-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;55335974;931976;25208085;95174814;2025-06-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;744585517;25392763;292679847;37643364;2025-06-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;94110638;4858658;52450322;109426460;2025-06-01
PARA DE MINAS;BCO BRADESCO S.A.;1;3155775;3274187;28871516;69322893;2025-07-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;531361770;21039978;89309010;132135093;2025-07-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;57823322;1014716;25781888;101810978;2025-07-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;744688507;24855065;295633306;40388176;2025-07-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;92789130;4552923;52223601;121528493;2025-07-01
PARA DE MINAS;BCO BRADESCO S.A.;1;3030481;1630278;28187658;73535633;2025-08-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;553550423;18587678;86767446;127205388;2025-08-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;45237322;957133;25994167;115595810;2025-08-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;754401413;24955601;295230635;40273919;2025-08-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;127792377;8205249;67901327;160918812;2025-08-01
PARA DE MINAS;BCO BRADESCO S.A.;1;3156904;1558506;27795700;70112577;2025-09-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;556036454;17154670;85792122;129718865;2025-09-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;43774844;552357;25510567;122743484;2025-09-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;754025675;24976823;293679366;42662805;2025-09-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;116269053;7749013;67620953;162232450;2025-09-01
