ano;sigla_uf;id_municipio;tipo_vinculo;vinculo_ativo_3112;tipo_admissao;mes_admissao;mes_desligamento;motivo_desligamento;causa_desligamento_1;causa_desligamento_2;causa_desligamento_3;faixa_tempo_emprego;faixa_horas_contratadas;tempo_emprego;quantidade_horas_contratadas;id_municipio_trabalho;quantidade_dias_afastamento;indicador_cei_vinculado;indicador_trabalho_parcial;indicador_trabalho_intermitente;faixa_remuneracao_media_sm;valor_remuneracao_media_sm;valor_remuneracao_media;faixa_remuneracao_dezembro_sm;valor_remuneracao_dezembro_sm;valor_remuneracao_janeiro;valor_remuneracao_fevereiro;valor_remuneracao_marco;valor_remuneracao_abril;valor_remuneracao_maio;valor_remuneracao_junho;valor_remuneracao_julho;valor_remuneracao_agosto;valor_remuneracao_setembro;valor_remuneracao_outubro;valor_remuneracao_novembro;valor_remuneracao_dezembro;tipo_salario;valor_salario_contratual;subatividade_ibge;subsetor_ibge;cbo_1994;cbo_2002;cnae_1;cnae_2;cnae_2_subclasse;faixa_etaria;idade;grau_instrucao_1985_2005;grau_instrucao_apos_2005;nacionalidade;sexo;raca_cor;indicador_portador_deficiencia;tipo_deficiencia;ano_chegada_brasil;tamanho_estabelecimento;tipo_estabelecimento;natureza_juridica;indicador_simples
2024;MG;3164803;10;1;0;0;0;;999;999;999;8;6;137.0;44;;0;0;0;0;3;1.12;1584.94;3;1.07;1416.0;1416.0;1416.0;1800.0;1512.0;1586.62;1512.0;1512.0;1586.62;2088.7;1661.34;1512.0;;;;16;;521110;5212;4711;4711302;6;44;;7;10;2;4;0;0;1198;3;1;2062;1
2024;MG;3164803;31;1;0;0;0;;999;999;999;8;5;255.7;40;;0;0;0;0;4;1.73;2439.7;5;2.15;2826.89;2318.57;2318.57;2318.57;2318.57;2826.89;2194.31;2149.13;2149.13;2657.45;2149.13;3049.15;;;;24;;514325;7511;8411;8411600;7;53;;7;10;1;6;0;0;1198;7;1;1244;0
2024;MG;3164803;31;1;0;0;0;;999;999;999;8;5;192.6;40;;0;0;0;0;7;4.76;6728.28;6;3.26;3579.29;3842.87;3852.28;14507.4;3852.28;3852.28;14507.4;5092.6;3852.28;13014.96;6171.6;4614.08;;;;24;;223405;7511;8411;8411600;5;39;;9;10;2;2;0;0;1198;7;1;1244;0
2023;MG;3164803;97;1;0;;;0;;99;99;5;5;35.9;40;3164803;0;0;0;0;4;2.08;2736.05;5;2.51;1562.4;1562.4;1562.4;1562.4;1584.0;1684.0;1624.0;1584.0;1584.0;11609.0;3589.0;3325.0;;;;24;;322205;75116;84116;8411600;3;24;;7;10;1;2;0;0;1198;7;1;1244;9
2024;MG;3164803;10;1;0;0;0;;999;999;999;7;6;102.0;44;;0;0;0;0;3;1.03;1460.0;3;1.03;1460.0;1460.0;1460.0;1460.0;1460.0;1460.0;1460.0;1460.0;1460.0;1460.0;1460.0;1460.0;;;;1;;781705;1410;810;810006;6;49;;3;10;1;2;0;0;1198;2;1;2135;1
2024;MG;3164803;10;1;0;0;0;;999;999;999;6;8;38.2;48;;0;0;0;0;3;1.11;1568.75;3;1.07;2306.38;1025.38;1416.0;1832.0;1512.0;1586.62;1512.0;1512.0;1586.62;1512.0;1512.0;1512.0;;;;16;;521110;5212;4711;4711302;3;22;;7;10;2;2;0;0;1198;3;1;2062;1
2023;MG;3164803;31;1;0;;;0;;99;99;8;5;161.9;40;3164803;0;0;0;0;3;1.69;2223.2;4;1.67;2188.82;2188.82;2188.82;2188.82;2210.42;2450.23;2210.42;2210.42;2210.42;2210.42;2210.42;2210.42;;;;24;;514325;75116;84116;8411600;5;36;;5;10;2;2;0;0;1198;7;1;1244;9
2023;MG;3164803;97;1;0;;;0;;99;99;6;5;58.4;40;3164803;0;0;0;0;2;1.03;1350.17;2;1.0;1302.0;1736.0;1302.0;1302.0;1320.0;1320.0;1320.0;1320.0;1320.0;1320.0;1320.0;1320.0;;;;24;;514325;75116;84116;8411600;7;50;;6;10;2;2;0;0;1198;7;1;1244;9
2024;MG;3164803;31;1;0;0;0;;70;70;999;8;5;264.0;40;;365;0;0;0;99;0.0;0.0;99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;24;;782305;7511;8411;8411600;6;49;;7;10;1;2;0;0;1198;7;1;1244;0
2024;MG;3164803;31;1;0;0;0;;999;999;999;8;5;324.0;40;;0;0;0;0;3;1.48;2093.59;4;1.53;2077.24;2077.24;2077.24;2077.24;2077.24;2077.24;2077.24;2172.96;1890.56;2172.96;2172.96;2172.96;;;;24;;514325;7511;8411;8411600;7;54;;3;10;1;2;0;0;1198;7;1;1244;0
