ano;sigla_uf;id_municipio;tipo_vinculo;vinculo_ativo_3112;tipo_admissao;mes_admissao;mes_desligamento;motivo_desligamento;causa_desligamento_1;causa_desligamento_2;causa_desligamento_3;faixa_tempo_emprego;faixa_horas_contratadas;tempo_emprego;quantidade_horas_contratadas;id_municipio_trabalho;quantidade_dias_afastamento;indicador_cei_vinculado;indicador_trabalho_parcial;indicador_trabalho_intermitente;faixa_remuneracao_media_sm;valor_remuneracao_media_sm;valor_remuneracao_media;faixa_remuneracao_dezembro_sm;valor_remuneracao_dezembro_sm;valor_remuneracao_janeiro;valor_remuneracao_fevereiro;valor_remuneracao_marco;valor_remuneracao_abril;valor_remuneracao_maio;valor_remuneracao_junho;valor_remuneracao_julho;valor_remuneracao_agosto;valor_remuneracao_setembro;valor_remuneracao_outubro;valor_remuneracao_novembro;valor_remuneracao_dezembro;tipo_salario;valor_salario_contratual;subatividade_ibge;subsetor_ibge;cbo_1994;cbo_2002;cnae_1;cnae_2;cnae_2_subclasse;faixa_etaria;idade;grau_instrucao_1985_2005;grau_instrucao_apos_2005;nacionalidade;sexo;raca_cor;indicador_portador_deficiencia;tipo_deficiencia;ano_chegada_brasil;tamanho_estabelecimento;tipo_estabelecimento;natureza_juridica;indicador_simples
2022;MG;3114402;10;1;2;8;;0;;;;2;4;4.6;22;3114402;0;0;0;0;1;0.46;564.67;1;0.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;403.33;605.0;605.0;605.0;605.0;;;;16;;411005;52329;47814;4781400;7;50;;5;10;2;2;0;0;1198;2;1;2135;1
2022;MG;3114402;60;1;2;12;;0;;;;1;5;0.2;40;3139003;0;0;0;0;1;0.31;382.66;1;0.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;382.66;;;;16;;521110;52329;47814;4781400;3;19;;7;10;2;9;0;0;1198;3;1;2062;1
2022;MG;3114402;10;1;2;12;;0;;;;1;6;0.5;44;3114402;0;0;0;0;1;0.5;606.0;1;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;606.0;;;;16;;521110;52337;47822;4782201;3;21;;6;10;2;2;0;0;1198;3;1;2062;1
2022;MG;3114402;60;1;2;12;;0;;;;1;6;0.4;44;3114402;0;0;0;0;1;0.4;484.8;1;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;484.8;;;;21;;514325;55131;55108;5510801;5;35;;7;10;2;2;0;0;1198;3;1;2062;1
2022;MG;3114402;60;1;2;12;;0;;;;1;6;0.4;44;3114402;0;0;0;0;1;0.46;560.0;1;0.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;560.0;;;;21;;514325;55131;55108;5510801;5;38;;7;10;2;2;0;0;1198;3;1;2062;1
2022;MG;3114402;10;1;2;7;;0;40;40;;2;6;5.3;44;3525300;35;0;0;0;2;0.75;915.73;1;0.4;0.0;0.0;0.0;0.0;0.0;0.0;404.0;1212.0;1171.6;1171.6;1050.4;484.8;;;;21;;513205;55220;56112;5611203;5;38;;8;10;1;9;0;0;1198;3;1;2062;1
2022;MG;3114402;10;1;0;;;0;;;;5;4;26.8;22;3114402;0;0;0;0;2;0.51;622.47;1;0.49;605.0;606.0;605.0;606.0;606.0;606.0;606.0;606.0;806.67;606.0;606.0;605.0;;;;19;;411005;74110;69117;6911701;5;35;;7;10;2;2;0;0;1198;2;1;2232;1
2022;MG;3114402;10;1;2;7;;0;;;;3;4;6.0;22;3114402;0;0;0;0;1;0.5;606.0;1;0.5;0.0;0.0;0.0;0.0;0.0;0.0;606.0;606.0;606.0;606.0;606.0;606.0;;;;19;;261305;74128;69206;6920601;5;37;;7;10;2;2;0;0;1198;3;1;2062;1
2022;MG;3114402;10;1;0;;;0;;;;4;6;21.1;44;3114402;0;0;0;0;1;0.49;605.0;1;0.49;5.5;0.0;0.0;0.0;605.0;605.0;605.0;605.0;605.0;605.0;605.0;605.0;;;;19;;413110;74403;73190;7319002;5;30;;7;10;2;9;0;0;1198;2;1;2062;1
2022;MG;3114402;10;1;2;12;;0;;;;1;6;0.3;44;3114402;0;0;0;0;1;0.49;598.74;1;0.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;598.74;;;;19;;782510;74993;82199;8219999;6;46;;5;10;1;9;0;0;1198;5;1;2062;1
2022;MG;3114402;95;1;2;2;;0;40;40;40;3;5;10.5;36;3114402;0;0;0;0;3;1.04;1268.15;1;0.48;0.0;771.21;1360.95;1360.95;1474.37;1497.05;1451.68;1360.95;1360.95;1360.95;1360.95;589.74;;;;24;;371410;75116;84116;8411600;7;61;;9;10;2;2;0;0;;9;1;1031;0
2022;MG;3114402;10;1;2;3;;0;;;;3;6;9.7;44;3114402;0;0;0;0;1;0.35;433.72;1;0.37;0.0;0.0;407.2;305.4;305.4;305.4;305.4;305.4;305.4;305.4;305.4;460.24;;;;23;;231315;80144;85121;8512100;6;41;;9;10;1;2;0;0;1198;6;1;2062;1
2022;MG;3114402;10;1;2;2;;0;;;;3;1;10.6;5;3114402;0;0;0;0;2;0.75;911.17;1;0.39;0.0;387.59;1487.79;1434.67;1359.73;2145.51;481.79;574.64;705.8;481.79;481.79;481.79;;;;23;;231315;80152;85139;8513900;3;24;;9;10;2;2;0;0;1198;5;1;2143;0
2022;MG;3114402;10;1;2;6;;0;;;;3;1;7.0;4;3114402;0;0;0;0;1;0.41;500.0;1;0.41;0.0;0.0;0.0;0.0;0.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;;;;23;;234616;80993;85937;8593700;3;18;;7;10;2;2;0;0;1198;2;1;2062;1
2022;MG;3114402;60;1;2;12;;0;;;;1;6;0.3;44;3114402;0;0;0;0;1;0.5;606.0;1;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;606.0;;;;22;;514320;85111;86101;8610101;5;30;;7;10;1;9;0;0;1198;6;1;3999;0
2022;MG;3114402;60;1;2;11;;0;;;;1;4;1.2;22;3114402;0;0;0;0;1;0.49;599.98;1;0.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;125.09;599.98;;;;22;;514320;85146;86402;8640202;5;33;;7;10;2;9;0;0;1198;3;1;2240;1
2022;MG;3114402;10;1;0;;;0;;;;4;4;15.0;22;3114402;0;0;0;0;2;0.51;622.83;1;0.5;606.0;606.0;606.0;606.0;606.0;606.0;606.0;606.0;606.0;646.4;767.6;606.0;;;;21;;371410;92614;93123;9312300;7;64;;2;10;1;2;0;0;1198;2;1;3999;0
2022;MG;3114402;10;1;2;8;;0;;;;2;2;4.9;13;3114402;0;0;0;0;1;0.36;443.0;1;0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;443.0;443.0;443.0;443.0;443.0;;;;21;;371410;91995;94308;9430800;6;49;;7;10;2;2;0;0;1198;3;1;3999;0
2022;MG;3114402;10;1;2;3;;0;;;;3;2;9.6;13;3114402;0;0;0;0;1;0.48;582.0;1;0.49;0.0;0.0;420.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;;;;21;;371410;91995;94308;9430800;7;54;;9;10;2;8;0;0;1198;3;1;3999;0
2022;MG;3114402;60;1;2;12;;0;;;;1;6;0.4;44;3114402;0;0;0;0;1;0.4;484.8;1;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;484.8;;;;21;;334115;91995;94995;9499500;6;42;;7;10;2;8;0;0;1198;2;1;3999;0
2022;MG;3114402;60;1;2;12;;0;;;;1;2;0.4;13;3114402;0;0;0;0;1;0.49;600.0;1;0.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;600.0;;;;21;;251505;91995;94995;9499500;5;30;;9;10;2;2;0;0;1198;2;1;3999;0
2022;MG;3114402;10;1;2;12;;0;;;;1;2;0.4;13;3114402;0;0;0;0;1;0.49;600.0;1;0.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;600.0;;;;21;;251605;91995;94995;9499500;5;34;;9;10;2;2;0;0;1198;2;1;3999;0
2022;MG;3114402;10;1;2;9;;0;;;;2;4;3.8;22;3114402;0;0;0;0;1;0.49;605.0;1;0.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;605.0;605.0;605.0;;;;21;;411010;93025;96025;9602501;5;39;;9;10;2;2;0;0;1198;2;1;2135;1
2022;MG;3114402;10;1;2;4;;0;;;;3;6;9.0;44;3101607;0;0;0;0;12;98.24;119072.52;10;10.45;0.0;0.0;0.0;10000.0;16415.92;12729.6;11016.0;11016.0;11016.0;12670.0;21539.0;12670.0;;;;17;;142305;51543;46834;4683400;6;43;;9;10;1;8;0;0;1198;4;1;2062;0
2022;MG;3114402;10;1;0;;;0;;;;8;6;176.5;44;3114402;0;0;0;0;10;10.91;13225.92;10;11.18;12735.0;16414.0;13301.0;12735.0;12735.0;12735.0;12735.0;12735.0;12735.0;12735.0;13558.0;13558.0;;;;17;;222110;51543;46834;4683400;6;42;;9;10;1;2;0;0;1198;6;1;2143;0
2022;MG;3114402;10;1;0;;;0;;;;8;5;172.9;40;3114402;0;0;0;0;10;14.15;17158.14;10;13.39;18456.62;20485.17;14995.0;18209.25;20109.96;14995.0;15442.18;17031.89;16416.82;16291.68;17231.27;16232.8;;;;18;;413225;65234;64239;6423900;6;46;;9;10;1;2;0;0;1198;3;1;2011;0
2022;MG;3114402;80;1;0;;;0;;;;7;99;90.9;0;3114402;0;0;0;0;99;0.0;507296.82;10;13.98;50865.75;16955.25;16955.25;18955.25;18955.25;22793.4;15195.6;15195.6;15195.6;18955.25;25316.63;16955.25;;;;18;;123115;65242;64247;6424703;7;51;;9;10;1;2;0;0;1198;5;1;2143;0
2022;MG;3114402;10;1;0;;;0;;;;4;5;21.5;40;3134905;0;0;0;0;9;8.19;9932.22;10;11.59;8033.76;8033.76;8077.16;12094.04;8077.16;12094.04;8077.16;14273.6;8577.16;8600.01;9193.97;14054.8;;;;18;;141710;65242;64247;6424703;5;35;;9;10;1;2;0;0;1198;3;1;2143;0
2022;MG;3114402;31;1;0;;;0;40;40;;8;4;342.7;24;3114402;0;0;0;0;10;11.93;14459.29;10;11.61;12429.92;18840.37;15082.14;14076.66;14545.88;14076.66;14076.66;14076.66;14076.66;14076.66;14076.66;14076.66;;;;24;;223208;75116;84116;8411600;7;57;;9;10;2;9;0;0;;9;1;1031;0
2022;MG;3114402;31;1;0;;;0;;;;8;6;468.9;44;3114402;0;0;0;0;10;10.23;12408.03;10;12.0;11167.89;12669.16;13417.3;12521.48;12933.95;12110.63;12063.9;11532.21;12015.57;12112.24;11806.92;14545.13;;;;24;;919205;75116;84116;8411600;8;67;;3;10;1;9;0;0;;9;1;1031;0
2022;MG;3114402;31;1;0;;;0;;;;8;4;343.7;24;3114402;0;0;0;0;10;10.09;12235.17;10;10.19;11798.88;12065.02;11728.94;12412.97;12412.97;12412.97;12412.97;12147.89;12357.36;12357.36;12357.36;12357.36;;;;24;;223505;75116;84116;8411600;7;57;;9;10;2;9;0;0;;9;1;1031;0
