Nome_Cidade_API;Data_Ref;year;Tipo_Operacao;Codigo_SH4;Pais_Parceiro;Valor_USD;Peso_KG
Pará de Minas - MG;01/03/2022;2022;export;"Manteiga e outras matérias gordas provenientes do leite; pastas de barrar (espalhar) de produtos provenientes do leite";Estados Unidos;17117;2261
Pará de Minas - MG;01/10/2022;2022;export;Leitelho, leite e nata coalhados, iogurte, kefir e outros leites e natas fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de frutas ou de cacau;Estados Unidos;16005;8812
Pará de Minas - MG;01/12/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Bolívia;15625;25000
Pará de Minas - MG;01/10/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Malásia;15444;27000
Pará de Minas - MG;01/02/2022;2022;export;Queijos e requeijão;Estados Unidos;15342;3244
Pará de Minas - MG;01/05/2022;2022;export;"Manteiga e outras matérias gordas provenientes do leite; pastas de barrar (espalhar) de produtos provenientes do leite";Estados Unidos;15334;2002
Pará de Minas - MG;01/11/2022;2022;export;"Manteiga e outras matérias gordas provenientes do leite; pastas de barrar (espalhar) de produtos provenientes do leite";Estados Unidos;14745;1771
Pará de Minas - MG;01/11/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Paraguai;13874;63760
Pará de Minas - MG;01/12/2022;2022;export;Leite e nata, não concentrados nem adicionados de açúcar ou de outros edulcorantes;Estados Unidos;13702;6283
Pará de Minas - MG;01/12/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Bolívia;13427;75125
Pará de Minas - MG;01/01/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;África do Sul;12680;20000
Pará de Minas - MG;01/06/2022;2022;export;"Manteiga e outras matérias gordas provenientes do leite; pastas de barrar (espalhar) de produtos provenientes do leite";Estados Unidos;12626;1751
Pará de Minas - MG;01/11/2022;2022;export;Leitelho, leite e nata coalhados, iogurte, kefir e outros leites e natas fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de frutas ou de cacau;Estados Unidos;12492;6740
Pará de Minas - MG;01/04/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Argentina;11815;47650
Pará de Minas - MG;01/06/2022;2022;export;Leite e nata, não concentrados nem adicionados de açúcar ou de outros edulcorantes;Estados Unidos;11539;5882
Pará de Minas - MG;01/02/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Bolívia;10790;25580
Pará de Minas - MG;01/01/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Argentina;10491;45650
Pará de Minas - MG;01/11/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Uruguai;10462;31810
Pará de Minas - MG;01/04/2022;2022;export;Leitelho, leite e nata coalhados, iogurte, kefir e outros leites e natas fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de frutas ou de cacau;Estados Unidos;10118;8812
Pará de Minas - MG;01/08/2022;2022;export;Leitelho, leite e nata coalhados, iogurte, kefir e outros leites e natas fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de frutas ou de cacau;Estados Unidos;9984;6740
Pará de Minas - MG;01/05/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Bolívia;9916;25650
Pará de Minas - MG;01/10/2022;2022;export;"Manteiga e outras matérias gordas provenientes do leite; pastas de barrar (espalhar) de produtos provenientes do leite";Estados Unidos;9830;1181
Pará de Minas - MG;01/12/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Argentina;9576;22000
Pará de Minas - MG;01/04/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Colômbia;8800;20000
Pará de Minas - MG;01/07/2022;2022;export;Leitelho, leite e nata coalhados, iogurte, kefir e outros leites e natas fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de frutas ou de cacau;Estados Unidos;7950;6222
Pará de Minas - MG;01/03/2022;2022;export;Leitelho, leite e nata coalhados, iogurte, kefir e outros leites e natas fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de frutas ou de cacau;Estados Unidos;7735;6740
Pará de Minas - MG;01/07/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Paraguai;7199;24125
Pará de Minas - MG;01/10/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Paraguai;6995;28800
Pará de Minas - MG;01/08/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Colômbia;6800;20000
Pará de Minas - MG;01/12/2022;2022;export;Partes e acessórios dos veículos automóveis das posições 8701 a 8705;Paraguai;6654;2884
Pará de Minas - MG;01/04/2022;2022;export;"Manteiga e outras matérias gordas provenientes do leite; pastas de barrar (espalhar) de produtos provenientes do leite";Estados Unidos;6317;821
Pará de Minas - MG;01/09/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Paraguai;6071;24750
Pará de Minas - MG;01/01/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Bolívia;5742;24050
Pará de Minas - MG;01/12/2022;2022;export;Leitelho, leite e nata coalhados, iogurte, kefir e outros leites e natas fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de frutas ou de cacau;Estados Unidos;5453;3111
Pará de Minas - MG;01/02/2022;2022;export;Leitelho, leite e nata coalhados, iogurte, kefir e outros leites e natas fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de frutas ou de cacau;Estados Unidos;5358;4665
Pará de Minas - MG;01/04/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Uruguai;4874;25650
Pará de Minas - MG;01/09/2022;2022;export;Leitelho, leite e nata coalhados, iogurte, kefir e outros leites e natas fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de frutas ou de cacau;Estados Unidos;4608;3110
Pará de Minas - MG;01/10/2022;2022;export;Leite e nata, não concentrados nem adicionados de açúcar ou de outros edulcorantes;Estados Unidos;4544;1782
Pará de Minas - MG;01/06/2022;2022;export;Leitelho, leite e nata coalhados, iogurte, kefir e outros leites e natas fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de frutas ou de cacau;Estados Unidos;3975;3111
Pará de Minas - MG;01/12/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Paraguai;3375;2070
